City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,labytnangi,66.6572,66.4183,12.890000000000043,89,100,8.5,RU,1723675147
238,cabedelo,-6.9811,-34.8339,25.370000000000005,83,0,6.63,BR,1723675147
239,puerto deseado,-47.7503,-65.8938,6.8700000000000045,81,100,2.39,AR,1723675147
240,zhangjiakou,40.81,114.8794,20.150000000000034,83,2,0.17,CN,1723675008
241,pangody,65.85,74.4859,13.550000000000011,96,83,5.05,RU,1723675147
242,bijrauni,24.9167,77.6333,25.060000000000002,93,100,3.5,IN,1723675148
243,yaren,-0.5472,166.916,28.82000000000005,76,29,5.18,NR,1723675148
244,cudillero,43.5622,-6.1459,17.590000000000032,82,20,0.0,ES,1723675148
245,la sarre,48.8002,-79.1996,24.100000000000023,62,73,2.37,CA,1723675148
246,westport,41.1415,-73.3579,27.900000000000034,66,0,4.12,US,1723675148
247,sanctuary point,-35.1114,150.629,15.420000000000016,94,88,2.54,AU,1723675148
248,aswan,24.0934,32.907,33.610000000000014,16,0,0.0,EG,1723675149
249,colonia,50.9333,6.95,19.410000000000025,85,0,0.51,DE,1723675149
250,san juan pueblo,15.5833,-87.2333,30.310000000000002,89,90,1.87,HN,1723675149
251,imbituba,-28.24,-48.6703,16.03000000000003,85,0,4.58,BR,1723675149
252,nantucket,41.2835,-70.0995,24.450000000000045,73,0,2.06,US,1723675149
253,minas de marcona,-15.2119,-75.1103,12.200000000000045,76,10,4.95,PE,1723675150
254,vilyuchinsk,52.9306,158.4028,13.150000000000034,83,53,0.46,RU,1723675150
255,margate,51.3813,1.3862,19.930000000000007,79,5,2.41,GB,1723675150
256,lethem,3.3803,-59.7968,27.960000000000036,60,27,2.31,GY,1723675150
257,lompoc,34.6391,-120.4579,24.360000000000014,78,0,0.89,US,1723674953
258,sao joao da barra,-21.6403,-41.0511,18.05000000000001,72,59,5.66,BR,1723675151
259,yuzhno-kurilsk,44.0306,145.8556,17.82000000000005,97,100,4.83,RU,1723675151
260,mpongwe,-13.5091,28.155,17.430000000000007,42,0,2.19,ZM,1723675151
261,salinopolis,-0.6136,-47.3561,26.49000000000001,79,4,6.1,BR,1723675151
262,cabo san lucas,22.8909,-109.9124,31.77000000000004,83,75,3.09,MX,1723675093
263,karratha,-20.7377,116.8463,20.960000000000036,36,0,4.35,AU,1723675151
264,ar rutbah,33.0381,40.2848,30.760000000000048,24,0,1.66,IQ,1723675151
265,ovria,38.1833,21.7167,27.29000000000002,45,0,2.36,GR,1723675152
266,mineiros,-17.5694,-52.5511,22.08000000000004,24,0,1.59,BR,1723675152
267,coutances,49.05,-1.4333,15.760000000000048,83,68,2.85,FR,1723675152
268,sidi akkacha,36.4647,1.3026,27.160000000000025,84,10,0.91,DZ,1723675152
269,i-n-salah,27.1935,2.4607,35.24000000000001,9,0,5.5,DZ,1723675152
270,howard springs,-12.497,131.047,21.950000000000045,77,7,2.26,AU,1723675152
271,magadan,59.5667,150.8,9.680000000000007,60,96,4.84,RU,1723675153
272,hithadhoo,-0.6,73.0833,28.600000000000023,72,93,8.72,MV,1723675153
273,grahamstown,-33.3042,26.5328,8.310000000000002,64,11,8.3,ZA,1723675153
274,kailua-kona,19.6406,-155.9956,30.150000000000034,79,0,4.63,US,1723674999
